42
Programming language : JavaScript, Percentage : 66%
Programming language : HTML/CSS, Percentage : 61.9%
Programming language : SQL, Percentage : 58.6%
Programming language : Python, Percentage : 57.9%
Programming language : Bash/Shell, Percentage : 48.7%
Programming language : TypeScript, Percentage : 43.6%
Programming language : Java, Percentage : 29.4%
Programming language : C#, Percentage : 27.8%
Programming language : C++, Percentage : 23.5%
Programming language : PowerShell, Percentage : 23.2%
Programming language : C, Percentage : 22%
Programming language : PHP, Percentage : 18.9%
Programming language : Go, Percentage : 16.4%
Programming language : Rust, Percentage : 14.8%
Programming language : Kotlin, Percentage : 10.8%
Programming language : Lua, Percentage : 9.2%
Programming language : Assembly, Percentage : 7.1%
Programming language : Ruby, Percentage : 6.4%
Programming language : Dart, Percentage : 5.9%
Programming language : Swift, Percentage : 5.4%
Programming language : R, Percentage : 4.9%
Programming language : Groovy, Percentage : 4.8%
Programming language : Visual Basic (.Net), Percentage : 4.4%
Programming language : VBA, Percentage : 4.2%
Programming language : MATLAB, Percentage : 3.9%
Programming language : Perl, Percentage : 3.8%
Programming language : GDScript, Percentage : 3.3%
Programming language : Elixir, Percentage : 2.7%
Programming language : Scala, Percentage : 2.6%
Programming language : Delphi, Percentage : 2.5%
Programming language : Lisp, Percentage : 2.4%
Programming language : MicroPython, Percentage : 2.3%
Programming language : Zig, Percentage : 2.1%
Programming language : Erlang, Percentage : 1.5%
Programming language : Fortran, Percentage : 1.4%
Programming language : Ada, Percentage : 1.4%
Programming language : F#, Percentage : 1.3%
Programming language : OCaml, Percentage : 1.2%
Programming language : Gleam, Percentage : 1.1%
Programming language : Prolog, Percentage : 1.1%
Programming language : COBOL, Percentage : 1%
Programming language : Mojo, Percentage : 0.4%
